4 ; Phil Simmons
6 ; Andy Caddick
7 ; Simmons
8 ; Nasser Hussain
8 ; Peter Such
9 ; Hussain
10 ; Such //
11 ; Chris Lewis
12 ; Mark Butcher
14 ; Tom Moody
14 ; Chris Adams
14 ; Tim O'Gorman //
16 ; Paul Johnson 
16 ; Martin McCague 
23 ; P. Simmons //
25 ; A. Dale // 
25 ; H. Morris //
25 ; D. Blenkiron
25 ; S. Watkin
26 ; P. Johnson
26 ; M. McCague
27 ; C. Lewis
27 ; M. Butcher
27 ; G. Kersey
27 ; J. Ratcliffe
27 ; D. Bicknell
28 ; W. Athey
28 ; V. Drakes
28 ; I. Austin //
28 ; W. Hegg
29 ; J. Pooley
29 ; M. Ramprakash //
29 ; M. Gatting //
30 ; J. Adams 
30 ; T.O'Gorman //
30 ; K. Barnett
30 ; T. Moody
31 ; J. Russell
31 ; K. Curran
31 ; A. Smith
81 ; SHEARER //
83 ; Alan Shearer
84 ; Tony Adams
84 ; David Platt
85 ; Adams
85 ; Platt
86 ; Shearer
86 ; Glenn Hoddle //
87 ; Alan
87 ; Hoddle //
88 ; Alan 
91 ; Shearer
91 ; Teddy Sheringham //
92 ; Shearer
92 ; Les Ferdinand
105 ; Cosmin Contra //
105 ; Mihai Tararache //
106 ; Danius Gleveckas //
112 ; Anatoly Gorokhovsky //
117 ; ROBERTO DURAN //
119 ; Roberto " Hands of Stone " Duran //
120 ; Duran
120 ; Ariel Cruz
121 ; Duran 
121 ; Duran
125 ; Duran
128 ; Ramon Manzanares //
129 ; Duran 
129 ; Hector " Macho " Camacho //
130 ; Camacho //
134 ; Jansher Khan //
134 ; Mark Cairns 
135 ; Anthony Hill
135 ; Dan Jenson
136 ; Peter Nicol
136 ; Chris Walker //
137 ; Rodney Eyles //
137 ; Derek Ryan 
185 ; Sandrine Testud //
185 ; Ines Gorrochategui //
187 ; Goran Ivanisevic //
187 ; Scott Draper 
188 ; Tim Henman
188 ; Doug Flach
189 ; Mark Philippoussis //
189 ; Andrei Olhovskiy //
190 ; Sjeng Schalken //
190 ; David Rikl //
191 ; Guy Forget
191 ; Felix Mantilla 
193 ; Alexander Volkov //
193 ; Mikael Tillstrom //
194 ; Jonas Bjorkman 
194 ; David Nainkin //
196 ; Lindsay Davenport
196 ; Anne-Gaelle Sidot
197 ; Conchita Martinez
197 ; Helena Sukova //
198 ; Amanda Coetzer//
198 ; Irina Spirlea //
199 ; Cedric Pioline //
199 ; Roberto Carretero //
199 ; Alex Corretja
199 ; Filippo Veglio
200 ; Linda Wild
200 ; Barbara Rittner
200 ; Asa Carlsson
200 ; Gabriela Sabatini
201 ; Pete Sampras
201 ; Jiri Novak
201 ; Paul Haarhuis
201 ; Michael Tebbutt
202 ; Lisa Raymond
202 ; Kimberly Po
205 ; Hendrik Dreekmann
205 ; Thomas Johansson
207 ; Andrei Medvedev
207 ; Jan Kroslak
209 ; Petr Korda
209 ; Bohdan Ulihrach
212 ; Monica Seles
212 ; Dally Randriantefy
215 ; Todd Martin
215 ; Andrea Gaudenzi
215 ; Stefan Edberg
215 ; Bernd Karbacher
294 ; TARANGO
294 ; O'BRIEN
295 ; Larry Fine
297 ; Andre Agassi
297 ; MaliVai Washington
297 ; Marcelo Rios
298 ; Washington
298 ; Alex O'Brien
299 ; Rios
299 ; Jeff Tarango
301 ; Agassi
301 ; Leander Paes
303 ; Washington
303 ; Todd Martin
